1260108 	 0.10 	-0.12 	 0.95 	 0.50 	-2.46 	-3.07 	 30.4 	27.25 	1013.94 	25.46 
1260608 	 0.21 	-0.16 	 1.02 	 5.97 	 0.63 	-17.69 	 30.4 	27.25 	1013.90 	25.76 
1261108 	 0.11 	-0.05 	 0.98 	 1.42 	 2.67 	-9.02 	 30.4 	27.25 	1013.93 	25.48 
1261608 	 0.13 	-0.02 	 0.97 	 3.71 	-0.69 	 8.47 	 30.4 	27.25 	1013.88 	25.93 
1262108 	 0.11 	 0.02 	 0.98 	-3.74 	 4.84 	-3.76 	 30.4 	27.24 	1013.93 	25.53 
1262608 	 0.05 	 0.01 	 0.98 	-8.29 	 5.40 	-8.08 	 30.3 	27.23 	1013.91 	25.68 
1263108 	 0.04 	-0.03 	 0.98 	 3.34 	 10.11 	-9.24 	 30.4 	27.21 	1013.89 	25.83 
1263608 	 0.04 	-0.06 	 0.97 	-0.95 	-3.77 	-3.45 	 30.4 	27.20 	1013.89 	25.67 
1264108 	 0.04 	-0.07 	 0.97 	-6.49 	 2.46 	 3.59 	 30.2 	27.19 	1013.89 	25.86 
1264608 	 0.06 	-0.05 	 0.98 	-2.82 	-0.78 	-0.61 	 30.3 	27.19 	1013.88 	25.93 
1265108 	 0.08 	-0.06 	 0.99 	 3.54 	 0.90 	 1.77 	 30.3 	27.19 	1013.90 	25.76 
1265608 	 0.07 	-0.04 	 0.98 	-2.17 	 1.07 	 4.14 	 30.3 	27.19 	1013.92 	25.61 
1266108 	 0.08 	-0.03 	 0.99 	 0.79 	 0.90 	 3.85 	 30.3 	27.19 	1013.90 	25.71 
1266608 	 0.09 	-0.03 	 0.99 	-0.90 	-0.95 	 3.92 	 30.3 	27.19 	1013.88 	25.89 
1267108 	 0.07 	 0.00 	 1.00 	 0.87 	 2.78 	 1.05 	 30.3 	27.19 	1013.90 	25.59 
1267608 	 0.07 	-0.00 	 0.99 	 2.31 	 2.92 	 7.02 	 30.2 	27.19 	1013.91 	25.66 
1268108 	 0.08 	-0.02 	 0.98 	 0.99 	 4.24 	-2.96 	 30.3 	27.19 	1013.92 	25.56 
1268608 	 0.08 	 0.02 	 0.98 	-3.16 	-0.49 	 7.62 	 30.3 	27.19 	1013.88 	25.94 
1269108 	 0.08 	 0.02 	 0.97 	-3.21 	 1.74 	-3.82 	 30.4 	27.20 	1013.91 	25.68 
1269608 	 0.05 	 0.01 	 0.99 	-4.75 	-4.34 	-5.53 	 30.3 	27.20 	1013.92 	25.60 
1270108 	 0.05 	 0.01 	 0.98 	-0.99 	 0.27 	-10.08 	 30.3 	27.19 	1013.90 	25.73 
1270608 	-0.00 	 0.01 	 0.98 	-4.09 	 2.34 	 0.98 	 30.4 	27.19 	1013.90 	25.78 
1271108 	 0.03 	 0.00 	 1.05 	-4.81 	-1.15 	 12.81 	 30.2 	27.18 	1013.89 	25.83 
1271608 	 0.06 	 0.02 	 0.98 	-5.88 	-3.50 	-10.69 	 30.2 	27.18 	1013.85 	26.19 
